Label,wavelet.LLH_glcm_Idn,wavelet.LHL_firstorder_Median,original_shape_Elongation,wavelet.LHL_glcm_MaximumProbability,wavelet.LLL_glcm_Correlation,log.sigma.1.mm.3D_firstorder_90Percentile,wavelet.HLH_glcm_MCC,wavelet.HHL_firstorder_Median,wavelet.HHL_ngtdm_Contrast,original_firstorder_10Percentile
0,1.267155349,0.2095609,-2.01487837,-0.400167292,0.632269169,-0.634795933,-0.818067379,0.010020977,-0.798806782,-0.379641044
1,1.705537033,0.121416372,1.122223718,-1.065536059,1.321072046,0.016501665,-0.663835867,0.383057699,-0.819431734,1.650775638
1,0.969905689,0.211925428,-1.302773082,0.287170861,1.040411949,-0.749222704,-0.855482173,-0.033362916,-0.844905625,-0.131581087
0,0.857789743,0.850882986,-0.403740598,-1.177129948,1.026687134,1.064310492,0.19022253,0.08298891,-0.778891296,-0.434765478
0,-0.25966853,-0.25649345,0.502278206,1.660032213,-0.407015237,-0.54070921,0.329109531,-0.097629098,2.631294186,-0.551445532
0,-0.820105974,-0.399174841,-0.465144292,0.408982255,-0.71358983,-1.335658965,0.763949575,0.398732068,-0.146847326,0.163334639
0,-0.132064142,0.091846768,0.377380193,1.090503214,-0.260174592,-1.0425594,-1.011831692,-0.821536917,2.791815368,-0.050731916
0,0.865335088,0.4002034,0.458162182,0.036232226,1.323373809,0.259933907,-0.824998179,-0.042959675,-0.618264399,0.934157986
0,0.797746604,-0.137418903,-1.122517825,0.456438182,0.311374349,-1.072994052,-1.010243747,0.170271611,-0.42596882,0.787159493
0,0.346105088,0.09781491,0.123360367,0.497210682,0.072463759,-0.771160952,-0.802729417,1.0887464,-0.149067825,0.125666275
1,-0.78945859,-0.556560803,-0.269375922,-1.425090146,-0.199801174,0.95744442,0.357964423,0.730187703,-0.359141012,3.169453817
0,-0.618774014,-0.185445468,1.447623535,-0.002157146,0.65015837,0.062157919,-0.134313478,0.049015325,-0.690597222,-0.335541496
0,0.357309593,-0.176982917,0.582594183,-0.331131682,0.79530338,-0.796892376,-0.68808213,-0.156816611,2.443774162,-0.765512087
0,-0.857325095,1.262231608,0.762825974,-0.124339867,-2.109304948,3.230663361,1.322728566,-0.280611127,0.280537769,0.169765823
1,0.528127926,-0.434959994,0.572077014,0.012229834,0.205829473,0.524227651,0.766257579,-0.897401401,0.597037765,-0.673638029
