batch,Label,log.sigma.2.mm.3D_glcm_ClusterShade,log.sigma.1.mm.3D_glcm_Imc1,log.sigma.1.mm.3D_glcm_MCC,wavelet.LLH_glszm_GrayLevelVariance,log.sigma.3.mm.3D_firstorder_Skewness,wavelet.HLL_glszm_ZonePercentage,wavelet.HLL_firstorder_Skewness,wavelet.LHL_glcm_Correlation,wavelet.LLH_glrlm_GrayLevelNonUniformityNormalized,log.sigma.2.mm.3D_glcm_Imc1
1,1,0.093184269,0.723714137,-0.928058893,-0.322492388,0.230150502,-0.347253434,-0.596896795,-0.741924523,0.644529096,0.609394035
1,1,0.091427467,0.537784807,-0.44261496,-0.16199044,1.042629699,-0.251979,0.605500543,-0.479996603,0.586745859,0.103162688
1,1,0.013359236,-1.215090753,1.200387532,0.168776058,-0.631712016,-1.443846032,-0.603014178,-0.101040224,0.485882658,-2.22531872
2,0,0.328167165,0.858324846,-0.815395866,-0.347437836,0.373607561,0.199181627,2.543336175,-0.984982689,0.386188271,0.643157167
2,0,0.328022902,0.036271552,0.03683645,-0.56125132,-1.497443293,1.522108608,-0.052460028,-0.719234936,0.315372098,-0.363251458
2,1,0.163387041,-1.231592426,1.425738236,0.255957197,-0.054573689,-0.917158292,-1.517776722,1.796984029,-0.384753401,0.118050869
2,1,0.288319912,-0.757064807,0.897158434,-0.233467004,-0.119007655,-0.775783973,0.487398382,-0.04979452,-1.348261189,0.458141258
2,0,0.327568888,0.84770448,-0.756482509,-0.178818538,-0.700583051,-0.388754016,1.0949178,0.307194322,0.452121083,-1.064696737
2,0,0.330403773,0.338152048,-0.264830084,0.28895844,-0.848787587,-1.083770817,-0.039551491,-0.369601467,0.053884721,-0.710951169
2,0,0.331216986,0.409904824,-0.394345918,-0.1494643,0.370419546,0.234212151,0.268630108,-0.364171402,0.66208723,0.414187038
2,0,0.330275129,0.300846838,-0.536054402,-0.881132499,-0.427659838,0.327165761,0.407315003,-0.2043168,0.634950239,0.337954325
